storyid,answer,sentence1,sentence1_sentiment,sentence1_sentiment_score,sentence2,sentence2_sentiment,sentence2_sentiment_score
32dc502c-4da0-47b6-ba67-22b0c902b549,2,The man goes back to the house to talk to the family.,Positive,0.92,The police arrest him.,Positive,0.87
fc41ecc6-9a66-4387-9dcd-5a1150a27a61,1,Jane was happy with the ending of the series.,Positive,0.97,Jane took the children for ice cream since their father was drunk.,Neutral,0.57
a915b1da-42ae-4075-af49-35cc3305e982,2,My parents bought a purple van with flowers on it.,Positive,0.91,Now they can really enjoy their favorite shows and movies.,Positive,0.99
c7f746de-0661-4536-8f6e-03ad864c93c6,1,Eric was mortified.,Negative,0.02,Eric's teacher was pleased with his progress.,Positive,0.97
e8ea9087-64c1-4e76-9b5b-d70a9d203c89,1,John suffocated as the weights crushed his chest.,Neutral,0.41,John began singing show tunes.,Positive,0.91
a891db65-ae8c-4f0c-823d-909a2f045191,2,Theodore welcomed competition.,Positive,0.97,Theodore passed the test.,Positive,0.82
e6a776b4-5db6-4459-bd72-30e0a6894128,2,Tom recalled how he had never liked Allie.,Neutral,0.54,Tom recalled how great it was to have met Allie.,Positive,0.96
68826e0d-2ad7-4fc5-b091-2ddd4b516293,2,Sue decides to go on a date with him again tomorrow.,Positive,0.95,Sue decides to forget the man.,Positive,0.88
e83d3583-4701-4f33-bc28-49338050b793,1,She placed an order online.,Neutral,0.71,She decided not to buy anything.,Negative,0.07
b3393976-0842-44a5-9a91-76170907f41f,1,I just want to survive.,Positive,0.77,I can't wait to go on vacation tomorrow.,Positive,0.96
9b854c06-9abc-4255-915e-5ab93089dddf,2,Jack ate it.,Negative,0.05,Jack was shocked.,Negative,0.07
d519067b-e1a4-4186-8dbf-2a05856df3aa,1,Amelia ate the dandelion salad.,Neutral,0.39,Amelia got poison oak.,Negative,0.15
17fa3a9c-b8de-411b-bbd3-dd03c38bada8,2,Reggie soberly directed everyone back to their bunks.,Positive,0.82,Reggie woke up in a hay field with a bad hangover.,Negative,0.15
d798bfa3-2646-4f72-9876-b1b5d3b0ea8b,2,Children has always annoyed Bob.,Negative,0.05,Bob enjoyed entertaining the kids.,Positive,0.98
7e358d67-c1ae-4530-9c75-db7df467e3b1,1,Larry's favorite dish to cook is lasagna.,Positive,0.99,Larry hates cooking and would rather eat fast food.,Negative,0.08
d0216b7e-3cce-457d-b2ef-c21527a7be5d,2,Jake had never seen a squirrel before.,Positive,0.82,Jake gave the squirrel a name.,Positive,0.83
8ca3fcda-06c0-46f0-8c72-3f1000d96b7c,2,She ran off crying.,Negative,0.06,It was the best day of birthday she could have imagined.,Positive,0.96
c81a7921-aff9-4fcb-89fd-9eb174115a30,2,I heard on the news that night they sent the kidnapper to prison.,Neutral,0.66,I saw a report about the shoplifter on the news that night.,Positive,0.75
0896e674-6572-4bc9-b977-e2c097846f39,1,"From then on, I felt more confident playing football.",Positive,0.87,I realized playing baseball was really a lot of fun.,Positive,0.98
f48a0c67-453e-4950-a031-ec1b76c4044a,2,Florence never went fishing again.,Neutral,0.37,Florence and her new friends went fishing again the next day.,Positive,0.99
a97d10d8-66b2-4030-8269-37dfdad9e6b8,1,Sarah's parents were upset and moved her curfew even earlier.,Negative,0.14,Sarah's parents were waiting for her with flowers and candy.,Neutral,0.51
01f06691-77fa-417e-acf4-fc3c3e422ccf,2,The man shouted at the boys that it was a good throw.,Positive,0.86,Tim and his friends ran before the man could see them.,Positive,0.94
dcd98c8c-7af3-4b43-a3a1-5edabeb1453b,2,The office worker began to sing a happy little tune.,Positive,0.86,The office worker knew it was going to be a long day.,Neutral,0.63
8a245d8c-0db6-49dc-97b4-9ae37a515751,2,She threw the teapot away.,Negative,0.06,She decided to give the teapot to her niece.,Neutral,0.57
d6153717-8789-4a6f-9f6a-1d29601f8a69,2,Neil decided never to return to Romania.,Negative,0.07,Neil had a great time.,Positive,0.99
f8626a09-9810-4e21-8d3b-63ff2cc003f5,1,I hope my plants survive.,Positive,0.78,I hope my plants die.,Neutral,0.54
96cc41aa-8bac-4e8e-94c5-8af6d54e41e8,2,Stacey had no pets.,Negative,0.05,Stacey decided they were just weird.,Negative,0.09
20d1b91b-1e1b-4ab3-a296-95adda86fd96,2,I hated the cat.,Negative,0.02,I decided to keep the cat.,Positive,0.77
5e3853ba-d9de-4fc9-b8f1-351b7732319e,2,My dad went to work.,Positive,0.83,The first girl was very upset.,Negative,0.04
521f1495-9e95-46f8-a385-a20430e026fa,2,Betty was happy at management.,Positive,0.95,Betty was outraged and returned it.,Negative,0.01
13b8b31e-63ec-4b00-9bfe-df718a5f8297,1,She had a great time.,Positive,0.98,She decided to never play video games again.,Negative,0.03
b1eeab32-a0f3-4295-89ff-41c6cb162cea,2,She agreed with him and sat calmly as he finished.,Positive,0.88,By the end of it she was in tears and being held down.,Neutral,0.35
01de6bc3-2192-4a63-abb9-ddd17f66abbd,2,Nita stripped down to her skivvies and ran outside that way.,Neutral,0.62,Nita was pleased she could show off her costume and keep warm.,Positive,0.96
43a3c9e0-976d-4f20-93df-15faf6af2854,1,Melanie's house ended up burning down.,Negative,0.21,Melanie put the large fire out with her foot.,Neutral,0.63
41b9ac7b-cf47-4d5d-8246-f57fdda081ee,1,Joe fell over the edge.,Negative,0.03,Joe was glad that the sea was so calm that day.,Positive,0.91
4a6f5b52-4884-46ad-a9ec-4d84c2f9cd6f,1,Now they were awesome.,Positive,0.98,Everybody loved the hot dogs.,Positive,0.96
8fcf391c-f35c-4825-b1a3-a3d002ec34b0,2,Kyle took the children shopping for a gift for their mother.,Positive,0.95,Now Matt and Kyle can go bowling more often.,Positive,0.92
4e735352-5dfa-4436-a6cb-67cb60704261,1,He thought about her all day.,Positive,0.84,He felt relieved that he did not talk with her.,Neutral,0.51
201e295d-bf28-4678-8704-1f2c8a976f22,1,We were relieved.,Neutral,0.47,We were furious that the boat came so close to our house.,Positive,0.82
4d3b7386-a600-4c88-8279-4a71304d56b4,2,Jolene loved what she was given.,Positive,0.96,Jolene was even more late.,Neutral,0.55
9925459e-6ee4-4a3c-8af2-feac840da3f3,2,Natalie made friends very easily.,Positive,0.95,"Natalie died a bitter crone, loved by no one.",Neutral,0.28
1051938f-79f1-46b0-9c86-22ec8ab4b68c,2,I made a lot of money.,Neutral,0.55,I lost a lot of money.,Negative,0.17
a8e2decf-a0f0-4ca9-b301-5bd95bee223d,2,Eve decided that she hated writing.,Negative,0.04,They offered her a job.,Positive,0.96
d26f872a-bea0-4703-b992-d643e571edfe,2,Sam's sandals fell apart.,Negative,0.07,Sal loved the smell of sandalwood.,Positive,0.97
7f20350f-48fa-474e-8801-62714b16c88c,1,Her friends noticed she was embarrassed and decided to comfort her.,Neutral,0.61,She decided she would eat a sandwich for lunch.,Neutral,0.52
745dfa19-1c30-454a-8d82-9e029861d769,1,Alfred had a great time and was happy.,Positive,0.99,The barbecue did not go well.,Negative,0.01
47ee9965-28a7-4837-b021-185f7f102c9a,2,They gave in and agreed to buy Cody a car.,Neutral,0.63,His parents learned that Cody had been exaggerating.,Neutral,0.57
acb6f580-cb05-4947-8e7c-d58310d392dd,1,I was so disappointed that I missed the concert.,Negative,0.08,I was glad that I caught up on my sleep.,Positive,0.78
9bc37dea-54bb-47fb-8f84-3ba74129e41e,2,Jen enjoyed her dinner with the judges.,Positive,0.96,Jen surprised the judges with how well she sang.,Positive,0.99
1c14f2ad-0e87-4ee8-b482-0c5356a3a986,1,I flattened it for my journal.,Neutral,0.41,I burned it in a fire.,Negative,0.05
f59b757c-dc5b-4ccb-85bf-ad556eebf235,2,He was so happy.,Positive,0.99,He became very depressed.,Negative,0.04
7169312d-c4c5-4d6e-92b8-0b8d8cc0a681,2,John unraveled his scarf and threw it into the garbage.,Negative,0.01,John decided to make more scarves in his spare time.,Positive,0.94
514fef6f-e79c-443b-a183-d0dfa4605462,1,Fanny is having a difficult time making friends.,Neutral,0.66,Fanny enjoys her new school.,Positive,0.94
f8381a32-0ad7-4776-aa7f-2c0fb69b7b8b,2,He decided to go to a fast food restaurant by himself.,Positive,0.86,He went to the restaurant with his girlfriend and had a nice meal.,Positive,0.93
c9ac2d40-0cbf-45e1-9e14-06deb99fe5e1,2,I tripped and spilled a bowl of Halloween candy on the porch.,Neutral,0.60,My mother said she thought mine was the oddest looking.,Negative,0.10
086bc3cb-e02f-4798-b7fa-5c870e814a68,2,Michelle then yelled at the man to let go of the mugger.,Positive,0.77,Michelle then went on a date with the man and fell in love.,Positive,0.91
d9b621c0-23c7-41f2-b094-ef2fbacfcc5d,1,I apologized and turned it down.,Negative,0.08,I shut the door and turned it up.,Negative,0.21
ec57dac8-7808-4cec-9671-40abbf0807a1,1,Iris purchased the wine.,Positive,0.82,Iris purchased a case of beer.,Positive,0.82
6867dc9e-0243-497c-b503-1788ffac8880,1,I was frustrated and scared about their lack of response.,Negative,0.03,I decided it was their problem and not to worry about it.,Neutral,0.46
af13ddb0-9880-4224-ba98-d2d57e8a4e68,2,Harold left disappointed that his band never showed up.,Negative,0.05,Harold's feet hurt after the concert.,Negative,0.12
df2deb91-aa75-4356-96e3-89d7f783c309,2,Joe was happy to be having such a good day.,Positive,0.95,The cashier unhappily obliged.,Neutral,0.52
7816cf81-de4c-48bb-9071-a03cf58db027,2,John was happy to be at home.,Positive,0.96,John decided to be a better boss.,Positive,0.84
7629fd20-239e-4906-b7e0-1835165e0232,2,I decided to get a cat instead.,Negative,0.09,I found the puppy I wanted and brought her home.,Positive,0.91
09cf4e58-49c4-47e4-a579-12a356a85c82,2,I laughed and asked for him to hit me harder.,Positive,0.83,"Not wanting him to grab the belt back, I ran out of the house.",Negative,0.15
aaf857da-951a-434d-9c4a-2ff499c5100d,1,He knew his next bill would be lower.,Neutral,0.57,He loved watching television.,Positive,0.94
ab496854-829d-41c0-a537-f732a5b09ba6,1,Dan bought his boat and spent the whole day sailing.,Positive,0.92,He spent all of the money on ice cream and pie.,Neutral,0.52
16ad1194-9ddd-4208-b1ae-662685540723,1,Marge treated Janet to dinner for trying to warn her.,Neutral,0.72,Janet created an imaginary brother and is institutionalized.,Neutral,0.61
13d845bf-15b5-4cbc-825f-896076dc4cf0,1,The restaurant manager apologized and gave her a gift card.,Positive,0.90,She decided it was a welcome addition and kept eating.,Positive,0.98
fb1970d3-48a0-4ad2-adcf-4d27128bb4bd,1,"Afterward, Bobby and friends were covered in snow.",Positive,0.92,Their clothing was clean and dry at the end.,Neutral,0.61
9ff0a1eb-4540-42ef-8d44-0aa51f71a544,1,He was so excited to finally have a drum set.,Positive,0.92,He decided not to play the drums anymore.,Negative,0.16
6bbbc47c-34ff-4b31-b8de-ff67690ac1d0,1,Leopold found his iguana under the couch that evening.,Neutral,0.60,Leopold does not miss his iguana.,Neutral,0.57
2a6dfc06-4c62-4d43-bad2-f0cf145fbebe,2,I felt glad I won.,Positive,0.81,It was a learning experience.,Neutral,0.51
0bf093da-3149-47ea-8719-019c810e6810,1,She decided to be more careful when she skipped.,Neutral,0.45,She skipped even faster and more recklessly after that.,Negative,0.03
95ee42d5-a9e1-46fe-8c01-8d1dd6d72777,1,The man eventually died.,Negative,0.09,The man felt he could breath much better.,Negative,0.24
29483973-173a-4ba1-89e9-a3e70ede4eba,1,Ava started shaving right away.,Negative,0.22,Ava was not happy with what her mother said.,Negative,0.03
afcde7d6-9871-4373-9610-5ead4df9c401,2,She was disappointed that she never finished.,Negative,0.08,She was pleased that she sold several copies.,Positive,0.93
b2a5bd85-ebaf-49f0-be67-f2a7a339cfe3,2,Agatha found the oven heat was too high.,Negative,0.05,Agatha found the oven was turned off.,Negative,0.02
d74ad2ff-fda6-4406-a25f-630897a070e8,2,Her son didn't know what she was talking about.,Neutral,0.31,Her son had taken an egg from the ice box and put it in the nest.,Neutral,0.29
9c9cf25c-988d-43b7-9b42-3c560b95563d,1,Tom was very happy to now be surfing quickly.,Positive,0.97,Tom was glad his cable picture had improved.,Neutral,0.66
2a7f5911-d661-4a9d-b6ad-561f2932dbc4,1,Hannah loved the craft project.,Positive,0.96,Hannah was upset that she didn't get to eat scrambled eggs.,Negative,0.07
22c9fe4c-f948-431b-8e10-fde66195af95,2,John hates Jessie.,Neutral,0.47,Jessie went to prom with John.,Positive,0.89
2ecbe42a-3eec-45eb-ae3a-aa7987dc5df0,2,"He found his cat, but the cat didn't have the shoe.",Neutral,0.27,He looked for his dog and then found his shoe.,Neutral,0.38
e0106925-116e-45e0-b937-a83bdbbcc752,1,I was relieved when I finally turned the essay in.,Neutral,0.48,I hardly put any effort into writing the essay.,Negative,0.05
cfd2a1d8-6988-4c1a-89fc-fc140d388b95,1,She then found them online and ordered them.,Positive,0.83,Amy then purchased them from the store.,Neutral,0.74
2ecf1040-6d4a-4807-ae3e-1cd1b259a937,2,I suggested he apply to for a cook's position where I worked.,Positive,0.82,I told him I felt the same way.,Neutral,0.52
81083e26-55c8-4f23-8abe-a3637c720cc8,2,Becky and her cousin both had copies of the book.,Positive,0.80,Her cousin then mailed her the book back.,Neutral,0.33
29053d48-56d5-4c88-b6e8-baed039d7ab8,2,She gave him a five dollar tip.,Neutral,0.48,She apologized to him.,Positive,0.79
034ddf2b-5a92-421d-8e8b-7329394d9322,2,Stevie was mad at his parents.,Neutral,0.56,Stevie was able to buy a new skateboard.,Positive,0.89
e3258f4b-d351-429e-9975-a930f836555c,2,Gina stood up and walked home.,Positive,0.96,She was sad that her friend's hadn't come to see her.,Neutral,0.58
b7755c94-f844-48aa-9c6f-8ecfb7507563,2,The people were trying to say hello to me.,Neutral,0.50,I did not realize where my briefcase was.,Negative,0.06
538c6c35-cc90-4900-a418-7d3dd2df8b11,1,Martina fell to her knees and began to sob.,Neutral,0.72,Martina was delighted.,Positive,0.99
fccfcc75-8cd7-4de8-98ff-ebb7824aec2f,1,Soon she could walk along while holding on to furniture.,Positive,0.95,The baby cried because the dog ate her sandwich.,Neutral,0.57
60e6ad62-f96a-4452-a8c0-68725e8a1fb7,1,Jim was extremely bored.,Negative,0.00,Jim was glad he didn't have to miss work for jury duty.,Neutral,0.68
c5a5ccee-e60d-4d12-abcf-64579dbfbfae,2,The supervisor gave him a raise.,Neutral,0.39,The supervisor fired him.,Neutral,0.61
db5e8289-1f3c-49a9-a4dc-4a9a2fdceca7,2,Bill is a huge Broncos fan.,Neutral,0.63,Bill thinks that the Bronco got lucky.,Neutral,0.43
6a9142f1-0d5e-4b66-936d-23bf98a22780,2,Nina was unable to control her addictions at all.,Negative,0.04,Nina was on the road to recovery.,Positive,0.90
c7c93ed2-8851-4739-8c8e-9680588f6d91,2,Paul brought his mistress to the party.,Positive,0.95,Mary forgave Paul.,Neutral,0.47
2181f5c6-1184-43ab-9284-f99306bc641e,1,Bob picked up all the nice things that his uncle left him.,Positive,0.96,Bob and his uncle went out for a nice steak.,Positive,0.98
03494e6b-cf8e-44a0-a4a8-5d6efabb138c,2,"At her first gig, she realized she never learned how to play.",Negative,0.13,She played small venues regularly and became well known.,Positive,0.89
8d321826-e7e2-4b9f-ac14-721b8d24b884,2,I went to the movies.,Neutral,0.61,I began painting the rain.,Neutral,0.53
efee5fe8-cc2a-4613-8997-0a9dd14aa9bf,1,He enjoyed the weather.,Positive,0.96,He hated picnics.,Neutral,0.35
11061aed-1f48-482f-a089-b66859669e52,2,Joey loved everything about Disneyland except for Mickey Mouse.,Positive,0.91,Joey had a great time.,Positive,0.98
12b3b104-64f0-491a-89dd-7924e9975d9a,1,Gina now knows not to inhale the incense smoke.,Neutral,0.37,Gina was able to breath freely.,Positive,0.87
c8e4d477-c9bf-42cf-8845-122af3bbf653,1,Samantha looked around and left.,Neutral,0.53,Samantha bagged the poop.,Neutral,0.71
81a0d0e0-c688-4a15-b9ec-e03a0135c0b8,2,Peter used his two dollars to buy shaving cream.,Neutral,0.26,Peter bought noodles.,Positive,0.82
35de29a1-1027-4faf-84e9-88fecdb13e76,2,Pam gave up trying to trim Archie's claws.,Negative,0.21,Pam gave Archie some food in an attempt to calm him down.,Neutral,0.35
f80b0a47-21cb-499f-aa62-d907a2c520fd,1,Larry was bruised after a while.,Negative,0.04,Larry hated sandwiches.,Negative,0.04
24b1f0b2-23ea-4252-a0b2-fdc85e5189b3,1,He took his shoes off as soon as he could.,Negative,0.21,He wore them after school.,Positive,0.86
0ae8bf6e-7fa2-4dc7-b2a7-1b8c9d05385d,2,"At the end of their date, Sue thought Bill was a nice guy.",Positive,0.80,"After their date, Robert and Sue decided to have a second one.",Neutral,0.34
8c62b61c-80d6-4e29-9543-2fb63c8d53ec,2,I drove past the theater and went back home.,Neutral,0.44,I enjoyed the movie very much.,Positive,0.99
c59ed048-175b-420a-be2b-007ff116429f,1,Teresa was so grateful she gave Miles a kiss right on the spot.,Positive,0.94,Teresa decided to sell the pandas Miles gave her.,Negative,0.17
bec36eb4-bc76-43bd-b23a-f89540da028c,2,Bob drove home right after he made it to his parent's house.,Neutral,0.49,"With the bumper in his trunk, Bob made it to his parent's house.",Positive,0.85
a04f3292-8135-4666-8518-6b3fadb99bf6,2,John told her to stay away from him.,Positive,0.94,John then left and felt decent about himself.,Neutral,0.49
420b15d9-f3be-4e1e-a3f0-ed66aded4045,2,Billy failed the test.,Negative,0.08,Billy passed the test.,Positive,0.86
43b70706-e127-47ab-85bb-443982cdf2ba,2,The sink was not repaired.,Negative,0.01,Finally the sink was repaired.,Positive,0.93
1d7f87b8-0409-4313-9e30-067aa818b9a8,1,Mary decided to take her husband to the game again next week.,Positive,0.89,Mary decided never to take her husband anywhere again.,Neutral,0.25
e462eec2-24b1-4f4d-9d21-bc3629f31bda,2,Nathaniel was given up for adoption shortly after.,Neutral,0.30,Nathaniel thrived and went on to a good university.,Positive,0.99
bbc0e184-f8a8-47ac-a632-82d54c8a512e,1,He went to the store and found a bag that worked properly.,Neutral,0.47,He used both of them all the time since they fit.,Positive,0.94
c652f38c-ca83-4185-a641-f79e4aa7ead6,2,John's parents were quite ashamed of him.,Neutral,0.49,John's parents were very proud of him.,Positive,0.94
b99df1ff-e67c-4e58-b918-61fdee32a4fa,2,Jane was relieved.,Neutral,0.43,Jane was disappointed.,Negative,0.01
48c59291-fe41-4270-8d90-a8b0fdf3c6cc,2,Mike hates water skiing.,Negative,0.13,Water skiing is Mike's favorite activity.,Positive,0.97
5aa7218c-1f23-4d87-bccd-95859d159acd,1,Ally's dog was worn out for the rest of the night.,Neutral,0.57,Ally was upset with the vet for removing the spines.,Negative,0.15
d37fb6ce-1212-40f0-99ff-743da773d10e,2,Perry was a vegetarian.,Neutral,0.26,Perry was placated.,Neutral,0.38
dff93132-a07e-48de-9e96-185de2210a4e,2,Ellie did not like to do things on her own.,Negative,0.08,Ellie was very independent.,Positive,0.88
7ff5e61e-29db-4b1e-a099-e024351069ce,1,But Jill's mother was grateful anyway.,Positive,0.78,Jill's mother told her she was worthless.,Negative,0.05
1cf146c4-44a3-46db-9964-8c5ec70d2d6e,2,Unicorn videos were Tracy's favorite.,Positive,0.96,They gave the book to her dad for father's day.,Positive,0.85
dedf5688-6b20-47aa-b153-66738da47f40,2,Gina checkout a book about dolphins.,Positive,0.88,Gina went home without checking out a book.,Neutral,0.60
22c13f53-8712-446e-b32a-30fcd8d06d3e,2,Charles was a very reckless careless person.,Negative,0.17,He broke his rules and drove her home.,Neutral,0.52
2dd3ae4b-91f1-4216-a6f9-e85b2be452f2,1,I have decided that I will never overeat on pizza day again.,Positive,0.94,I kept eating pizza until I felt better.,Negative,0.13
b7c35c24-24bb-4a57-ab29-8fd4928964ee,2,Mac was disappointed with his tie choice.,Negative,0.07,Mac's tie looked great and everyone gave him compliments.,Positive,0.98
e5a1628d-4846-4c4e-91f0-2ded59337a08,2,I planned to visit Brock at his new job in London.,Positive,0.93,"Then, Brock asked me to go to Japan with him.",Neutral,0.33
e9cb07fa-0b5b-4906-91e2-dd083c41cb74,2,Anna's nightmares got much worse.,Negative,0.01,Anna slept much better.,Negative,0.11
a2cf7913-e969-4897-9fff-a218797f6c3c,2,Charlotte did a great job of keeping her promise.,Positive,0.98,She worried that her mother would be upset.,Neutral,0.51
785bba1a-1ad8-4379-8650-54b5989b3417,1,She was thrilled.,Positive,0.97,She never had George over for dinner again.,Positive,0.85
b0b399d4-1931-4e26-b55d-eeade379ffd7,2,Kevin and John go out to eat.,Positive,0.93,Kevin later died in the hospital.,Negative,0.03
87ab862b-db21-415e-99e0-3e87703516d2,2,Dylan spent the money on socks.,Neutral,0.48,Dylan was able to purchase his new video game.,Positive,0.94
1be17a8e-1f59-425c-ba4f-9adf7a2081c0,2,Andrew changed his mind and spent months at the summer house.,Positive,0.96,"Andrew was sad, but the money was needed.",Neutral,0.52
db73ed1f-c5ea-43f4-9b9c-11ae13e6bbff,2,Jim wished it was summer time.,Neutral,0.71,Jim headed to the store to buy a sled.,Neutral,0.45
678c9581-8cda-4db0-910f-8fff68df1889,1,Lou was happy a subscriber recognized him.,Positive,0.86,Lou hated the mall.,Neutral,0.38
49afd905-58fc-4114-a6aa-90d686f3578e,1,"By the time they got to the training, they felt like friends.",Positive,0.94,Carol asked Dan to buy her a box of Kleenex.,Positive,0.94
fc5213af-b500-4797-af61-60d4a9c49219,2,He was happy with the new cleaners.,Positive,0.96,He requested to have his money refunded from them.,Negative,0.11
e956a0ff-21aa-4ac7-a821-ab021fdd684b,2,Travis was proud of himself.,Neutral,0.47,Travis was kicked out of the Marines.,Neutral,0.55
9387e571-2819-4e29-bedb-a35f0410da51,2,I was pleased with my concoction.,Positive,0.94,It needed more sugar!,Negative,0.11
ad3d8ef3-1d8b-4138-bf31-31a1df873cef,2,I couldn't wait to see some movies in the new theaters.,Positive,0.92,I was very disappointed to see that that restaurant had closed.,Negative,0.02
f68c3995-a6e6-4d15-ad3f-20d619a70824,1,I urged my aunt and mom that there was an emergency.,Positive,0.89,I left home to play with my cousin's dog.,Neutral,0.48
bf4ea690-b2c5-4c11-a732-2228bc4eef56,2,Ben decided to keep the chair instead.,Negative,0.21,"Later that day, Ben sold his chair for $50.",Neutral,0.51
b87943be-4fc8-48a1-8c45-88de7ebe195a,1,He got a great job and lived a happy life.,Positive,0.99,"After graduation, he was only able to get a job at McDonalds.",Negative,0.05
823bf981-434b-4cc0-8d01-07c6f07d5df9,1,He decided to take a cab and go home.,Neutral,0.73,He danced with joy at the fun night he was having.,Positive,0.96
c33c24e3-c638-4ccb-bea0-cbf4ada0962c,1,Lucy was very happy to start ballet.,Positive,0.98,Lucy was very angry she had to start ballet.,Negative,0.16
0a290400-218a-4874-aef4-c821e998dfd8,1,Amy's shorts were uncomfortable.,Negative,0.00,Amy's shorts were very comfortable.,Positive,0.98
87e225ce-9096-4442-aa10-36e4ad86ec6b,2,I was very proud of myself.,Positive,0.82,I was so embarrassed after the kiss.,Negative,0.02
13df51f2-ecf8-474c-98e4-793810ea525e,1,There were many different pieces missing.,Negative,0.01,They threw the game in the air.,Negative,0.07
9bfaa6b9-3ef4-4194-a6ec-a2077f2acd5f,2,The woman decided she would shop there again in the future.,Positive,0.81,The salesman regretted being such a cad.,Neutral,0.44
43268de7-65f6-4d73-8ff4-9ca912308fba,2,She sent him a text asking if he wanted to see a movie.,Neutral,0.54,She left him a very angry voicemail.,Negative,0.04
942234c8-9ae8-4782-a22d-a84e74a27092,1,Joey holds the football every time he watches a Chiefs game.,Positive,0.96,Joey hates football.,Neutral,0.27
b06cfdc9-1042-4448-9ec6-172ba34227f0,1,The cat was grateful.,Positive,0.87,Valerie hated the cat.,Negative,0.05
f47cf504-b7c7-4802-aba5-bdd756b5a402,1,Audrey was happy with her first day of school.,Positive,0.88,Audrey wished she had made friend that day at school.,Neutral,0.55
dd9f78f3-86b5-4eff-b6b5-b3c0ad2c3dd2,2,I then woke up and went for a jog.,Neutral,0.27,I then went to sleep feeling happy about my life.,Positive,0.78
9a0d9b7c-99bb-46e5-9f0f-7906c0c3473f,1,Tara bought a bulb.,Neutral,0.57,Tara got an ice cream.,Neutral,0.69
2236eeef-a0c8-4279-878a-c511175bc783,2,George then felt too hot so he needed to cool off.,Negative,0.15,He realized that his hot water ran out.,Neutral,0.29
721992ab-12b0-40b9-b49a-6442d229716a,1,John decided to try again and work passed the crows.,Positive,0.93,John then captured the crows as pets.,Positive,0.95
b647f5fa-fd15-4d67-99d4-d226ee92acaa,2,Cory's watch was on her wrist.,Neutral,0.39,But the watch was gone forever.,Neutral,0.31
397d92ff-5309-4291-80af-253ac31312d3,2,Adam ran from the group of boys as fast as he could.,Positive,0.78,Adam played frisbee with them.,Positive,0.80
83ac3367-797d-4ce1-8264-e39f00f800c3,1,Braden got hired to the modelling job.,Positive,0.96,Braden called back saying he didn't want the job anymore.,Neutral,0.54
e2a4b345-b4ec-4dd0-ad6f-172c7edc2a64,1,The janitor was annoyed when Tom tracked mud on the clean floor.,Negative,0.06,Everyone complimented him on his clean shoes.,Positive,0.99
261f36f4-26dd-488b-ac21-1d7e36093b25,2,Irene was too angry to attend the performance of the play.,Negative,0.01,Irene felt proud seeing her costumes on stage.,Neutral,0.74
ec78b636-42c9-4d47-b7b7-bbb1b5a2e366,1,I could see fish swimming in the coral reef.,Negative,0.21,I couldn't see the shark that attacked me in the ocean.,Negative,0.13
f9ac6868-8a06-4c85-84b6-d2b325870789,2,Gina broke into a song.,Negative,0.08,Maybe Tami wouldn't be her friend anymore.,Negative,0.22
04a36104-a4ed-45af-8909-9c3f2552dd4b,1,Gina decided she liked it as much as the first one.,Positive,0.97,Gina knew every word and sang along.,Positive,0.96
b43c0bda-75da-43ae-9aba-d891d5115c46,1,Lee's arm started to bleed where the tick had been.,Negative,0.08,Lee was disappointed in himself.,Negative,0.01
59c5048f-6a4b-4633-8174-bb48b550a8aa,2,The water in Tim's town was the cleanest in the country.,Positive,0.91,Lots of people got sick.,Neutral,0.26
2a250f76-2cf7-4f6f-aa36-4bcbcfb56c2c,1,The crowd cheered.,Positive,0.88,The crowd booed.,Negative,0.24
fbced885-a0ad-4340-aac1-55b926af7c0a,1,Arthur died in the fire.,Negative,0.01,Arthur was proud of what he had done.,Positive,0.91
9f430e7b-fcd1-4217-8fb5-f89b30e9241d,2,Kim had a big bite of her burger.,Negative,0.22,Kim decided to only eat the meatless parts of the meals.,Neutral,0.33
7907720f-df18-437b-9443-539f8214030b,1,John played to the best of his ability.,Positive,0.98,John sat down on the bench.,Positive,0.88
21e8cd48-864d-4f4c-b908-03bc8c720abe,2,Aaron then cooked the swan on his stove.,Positive,0.77,Aaron saved the swan's life.,Positive,0.96
e2f15b6f-6748-4df1-b674-e014399a5a2c,2,Jim didn't have any blood drawn.,Negative,0.06,Jim felt proud.,Neutral,0.75
bcdfb6a2-5c2b-4729-a7a6-54b5ea98006d,1,Maddie wondered how Max would react to her two dads.,Positive,0.98,Maddie couldn't wait for Max to meet her family.,Positive,0.98
b17a99fe-5882-41cc-a11c-0fd49b31a2aa,1,I met up with another friend and we enjoyed ourselves.,Positive,0.98,I cried alone in my room.,Positive,0.96
7968047c-b14c-4560-97ec-27bed2f9d117,2,"Disgusted, she left.",Negative,0.01,She leaned over and kissed him.,Neutral,0.69
f5f6f505-3394-4e87-a95f-0bc9462902c0,1,But my dog went and got it.,Neutral,0.55,I was happy.,Positive,0.97
50b6471a-3be3-40b3-b18e-dd2ecff0ff47,1,She had won the drawing and the turkey was hers.,Neutral,0.39,She was evicted from her apartment.,Positive,0.90
17447bac-e483-46e8-b435-5374dcbd96ac,2,Their business failed.,Negative,0.04,Their business became a success.,Positive,0.98
37de4396-8339-4563-b523-75d83003cb4b,2,The kitten started eating all his cat food.,Neutral,0.27,I was sad my kitten was so ill.,Negative,0.14
0b9a9064-a4af-43af-b65c-9f123563c00d,2,Jim was happy.,Positive,0.96,Jim ended up in the hospital.,Negative,0.20
