InputStoryid	0	story	rightanswer	wronganswer	cogcomp	jonbean	lizhongyang	mflor	msap	niko	rocnlp	roemmele	sjtuadapt	tbmihaylov	teampg	teamukp	rightanswer_len	wronganswer_len	diff_len	rightanswer_numwords	wronganswer_numwords	diff_numwords
f600412a-7825-4150-bef5-9625436818db	0.5	My kitchen had too much trash in it. I cleaned it up and put it into bags. I took the bags outside of my house. I then carried the bags down my driveway to the trash can.	I was glad to get rid of the trash.	I missed the trash in the kitchen.	1	1	0	1	1	1	0	1	0	1	0	0	35	34	1	9	7	1
b4492085-de4a-49e9-aa32-7b3d4778fe6f	0.5	Tam, the star of a popular musical came down with laryngitis. Her understudy Sal, would have to perform opening night! Sal gave a wonderful performance. The director made Saul the new star.	Saul's career took off.	Saul never performed again.	1	1	0	1	1	1	0	1	0	0	1	0	23	27	0	4	4	0
178cc10a-871c-489a-bcc3-318fee39e1c3	0.5	Gina and her friends were the only people in the library. Gina had never been in the library at school with so few people. She liked it better this way. She wished her friends weren't there either and she was alone.	Gina found a secluded spot by herself.	Gina invited more people to the library.	1	1	0	0	1	1	0	1	0	1	0	1	38	40	0	7	7	0
f037c668-0b84-42aa-a1c1-f16ec0548da5	0.5	Samantha called me for an interview over the phone. I answered most of her questions with ease. Afterwards, we said our parting remarks. I exhaled heavily when I hung up the phone.	Samantha called me the next day and offered me the job.	Samantha called me the next day to conduct a phone interview.	1	1	0	0	1	0	0	1	0	1	1	1	55	61	0	11	11	0
4f1ef4de-de1b-46f7-bcc4-a5048a53e498	0.5	Hank began to clean out his closet. He made a pile of wire hangers that he didn't need. Hank thought that he should recycle all the extra wires. He took them to the junkyard and sold them for scrap.	Hank got a few dollars.	Hank got a million dollars.	1	0	1	0	1	1	1	0	1	1	0	0	23	27	0	5	5	0
9745f20b-080a-480f-a807-2d80500a6369	0.5	Baby Martin was 7 months when he tried a Banana. He was a very curious baby. He loved to eat carrots and sweet peas. One day his dad decides to give him a banana	Baby Martin liked the banana.	Baby Martin was sick of bananas.	1	1	0	1	1	0	0	1	0	1	1	0	29	32	0	5	6	0
bfc4de93-8b26-4192-903c-4267bb7ef55f	0.5	Jerome dribbled the ball quickly. Sam tried to grab it from him, but wasn't fast enough. He chased Jerome down the court. Jerome pushed Sam backwards and threw the ball.	Jerome scored points for his team.	Sam grabbed the ball from Jerome.	1	1	0	0	1	1	0	1	0	1	0	1	34	33	1	6	6	0
2e72dd71-3b27-4a1e-be17-74256a366423	0.5	Mark's parents had an announcement. They were going to have a baby. Mark was mad and went to his room. When the baby cam, Mark went up to him.	Mark wanted to meet the baby.	Mark didn't look at the baby.	1	1	0	0	1	1	0	0	0	1	1	1	29	29	0	6	6	0
7cec8407-60d0-45a4-8a9c-3cf4f02eebbd	0.5	Every summer my son's grandma plants a beautiful garden. Often times, she will ask for my son's help to pick out flowers. They take a full morning to drive to the store and peruse the choices. In the end, he picks out pretty purple and pink flowers just for her.	My son loves his grandma.	My son is thoughtless.	1	0	0	1	1	1	1	1	0	0	1	0	25	22	1	5	4	1
051316ed-513e-49ec-ac89-91e86f46d128	0.5	John was afraid to go to school on Monday. He had not completed his science project. John lied to his parents that he was sick. His parents knew that John was lying.	His parents made him go to school, and he got an F in science.	His parents rushed him to the emergency room.	1	0	1	0	1	0	1	1	1	0	0	1	62	45	1	14	8	1
52e18bbe-6041-4f8b-9674-59c2ba53362a	0.5	Greg was a nurse. Some people called him a murse. He hated that term because it was stupid and insulting. He punched each of them in the face.	Greg was then fired from his job for being too violent.	Greg was promoted by his manager.	1	0	0	1	1	1	1	1	0	0	1	0	55	33	1	11	6	1
2cf77ebf-5215-4dd2-b21d-f2850ce52853	0.5	Ron really wanted to get promoted at his work place. He researched different strategies to move up within the company. Ron found out a higher position was created for bilingual employees. The requirement for the new position is to be able to speak Spanish.	Ron was happy because he knew how to speak Spanish.	Ron didn't meet the requirements and got hired anyway.	1	1	0	1	1	0	1	0	0	1	1	0	51	54	0	10	9	1
772abdea-e0ff-4b07-ae2e-49b1b5381b21	0.5	Trina and her friends decided to go to a famous art studio. The girls went and took numerous pictures. Trina bought a few art pieces. When she got home she hung them up.	She stared at them for hours.	She didn't like the art she bought.	1	1	0	1	1	1	0	0	0	1	0	1	29	35	0	6	7	0
9842a0fb-032f-4aee-a2ef-37f17975dbb3	0.5	Pam thought her front yard looked boring. So she decided to buy several plants. And she placed them in her front yard. She was proud of her work.	Pam was satisfied.	Pam was upset at herself.	1	1	0	1	1	0	0	1	0	0	1	1	18	25	0	3	5	0
22563d0b-03e1-4f06-86f6-affb2372f165	0.5	Cousin Sam had fun at Tim's house. They played ball everyday. However, Sam had to leave with his parents. Tim was sad.	Tim wished that Sam would visit again.	Tim did not want Sam to come over anymore.	1	1	0	1	1	1	0	0	0	1	1	0	38	42	0	7	9	0
d36dfa4f-065f-442c-b64f-cbe2a52cfefd	0.5	Rufus met a beautiful Russian girl who he wanted to date. He decided to learn to speak Russian in order to impress her. Rufus studied very hard to learn to speak Russian. Finally when he was fluent in Russian, he asked her out.	She said yes.	She told Rufus that he could not buy her car.	1	1	0	1	1	1	0	1	0	0	0	1	13	45	0	3	10	0
8779d8ec-cca4-4c02-8743-179835965a79	0.5	Shane and John were best friends at school. Shane was caught stealing and got suspended from school. John was not allowed to be friends with Shane anymore. this bothered John greatly but his mom explained the reasons.	She explained that Shane was a bad influence on John.	She explained that Shane shouldn't have been caught.	1	0	1	0	1	0	1	1	1	0	1	0	53	52	1	10	8	1
ebbe10bf-e519-4f63-b600-4db2e6d9261d	0.5	John couldn't wash his clothes because his washing machine was broken. John didn't know how to fix washing machines. He bought a book to tell him how to repair it. He changed the fan belt.	When he plugged it back in, it worked.	After that he gave up and bought a new one, without ever knowing.	1	0	1	0	1	0	1	1	1	0	1	0	38	65	0	8	13	0
1a8a3580-5b1f-408d-a38e-24aa4fce3cc6	0.5	Larry decided to write his girlfriend a love letter. He wanted to let her know how much she meant to him. He started out writing about how they met. In addition, he talked about her character and her positive qualities.	He asked her to marry him, and she said yes.	He ended the letter telling her he was leaving her.	1	0	0	1	1	1	1	0	0	0	1	1	44	51	0	10	10	0
7cb38ddf-1170-4430-b062-29661a57c01b	0.5	Sal the radio DJ queued up his music for the night and sat down. His assistant said they were having computer issues that day. Sal tried to fix it himself but he could not play any songs. Instead he just spoke to his listeners for two hours.	They loved it.	Sal was unemployed.	1	1	0	0	1	1	0	1	0	1	0	1	14	19	0	3	3	0
f03fe39d-748a-46a8-b651-b0f6beb80095	0.5	Tom was jealous of his brother. His brother was older and stronger. His brother went wherever he wanted. One day his brother was grounded for staying out too late.	This made Tom really happy.	My brother wore a red shirt.	1	1	0	0	1	1	0	1	0	1	0	1	27	28	0	5	6	0
3b8b3627-27a8-40a6-90d7-c07fa4f2923a	0.5	I got my nails done yesterday. The nails looked amazing. Unfortunately today they chipped. I was working in the garden and they chopped.	I felt upset.	This made me very happy.	1	0	1	0	1	0	1	1	1	0	0	1	13	24	0	3	5	0
5e876a62-4ccf-49f4-83c5-5b06ce6f108b	0.5	He didn't know how the television worked. He tried to fix it, anyway. He climbed up on the roof and fiddled with the antenna. His foot slipped on the wet shingles and he went tumbling down.	Thankfully, he recovered.	He decided that was fun and to try tumbling again.	1	1	0	0	1	1	0	0	0	1	1	1	25	50	0	3	10	0
e7d066ba-784a-4111-98b4-757c79ae70bc	0.5	Jon woke up and went to his living room. His dog was still sleeping. Jon decided to wake up his dog. His dog refused to wake up.	Jon was very worried.	Jon shrugged and never petted his dog again.	1	1	0	1	1	1	0	0	0	1	0	1	21	44	0	4	8	0
17839b9c-2cb0-49f6-863b-286f2aacbbb4	0.5	I was driving down a very unfamiliar, congested highway. The GPS directed me to a longer route on a different road. I gladly took the other road, but it soon became a nightmare. The road twisted and turned, and I had no choice but follow the GPS.	It was stressful but I finally made it to my destination.	I turned the GPS off and found a better way.	1	1	0	0	1	1	0	0	0	1	1	1	57	44	1	11	10	1
8fc0210e-cf6c-4dbc-b87d-c16c1035d40c	0.5	Susan had just moved to California. One morning she woke up to a loud deep rumbling. She felt the earth move underneath her. She had never experienced something like this before.	Susan was witnessing her first earthquake.	She couldn't believe it was happening to her again.	1	1	1	0	1	0	1	0	1	0	0	1	42	51	0	6	9	0
aef4817e-7700-455a-a24c-a1d0693d786b	0.5	Tim rented a car to visit his ill mother. Tim's mother was in a nursing home in Detroit. While on his way to the nursing home, Tim was in a car accident. The tow truck driver offered to drop off Tim at the nursing home.	Tim was very thankful.	Tim told the driver to take him to Toronto.	1	1	0	0	1	1	0	1	0	1	0	1	22	43	0	4	9	0
c8146079-4b74-4efd-8155-a2b4a115bdd8	0.5	Marie's husband is in the Army. He is away for a tour overseas. Marie walked into her home. Her husband was waiting on the couch.	Marie was shocked.	Marie was not surprised at all.	1	1	1	0	1	0	0	0	1	1	0	1	18	31	0	3	6	0
2634462d-dce4-42f4-9830-bd6aef3c2ce0	0.5	Jane broke Elwood's binoculars. Jane was apologetic. Jane knew the binoculars were too expensive for her to replace. Elwood forgave her.	Jane was thankful.	Jane was angry at Elwood.	1	1	0	0	1	1	0	1	0	1	0	1	18	25	0	3	5	0
aaed09c0-fe89-4d6a-874f-f26edc8a1da8	0.5	We visited our daughter and son in law in NYC in 2013. They took us to the Brooklyn Museum. I am disabled so they wheeled me through the exhibits. We looked at an exhibit of John Singer Sargent paintings	We saw a number of paintings.	We did not see any paintings.	1	1	0	0	1	1	0	1	0	1	0	1	29	29	0	6	6	0
03905bf7-d46d-4093-b5e4-9f7c74dbcd18	0.5	Sam wanted to cook a burger. His cast iron skillet was rusted from being left out. Sam scrubbed his skillet with some steel wool. Afterwards, he seasoned the skillet in the oven.	After it was completely cooked, the burger was delicious.	Sam had never had better-tasting chicken in his life!	1	1	0	1	1	0	0	1	0	1	0	1	57	53	1	9	9	0
5196ea5e-7f6d-450a-96aa-117723855013	0.5	Amy decided to eat dinner and watch the TV. Her mother never let her do this. But her mother was asleep tonight. Amy just had to make sure to clean up her mess before going to bed.	Luckily her mother never found out.	The next night Amy and her mother ate in front of the TV.	1	0	0	1	1	1	0	0	0	1	1	1	35	57	0	6	13	0
ec172df0-31b5-4d9e-8d7b-3d1f42b112e5	0.5	Tom wanted an iced latte. So he went to a coffee shop and ordered one. But over half of it was ice. Tom complained.	They gave Tom a new latte with less ice.	They gave Tom a new latte with more ice.	1	1	0	0	1	1	0	1	0	0	1	1	40	40	0	9	9	0
f91ef3f5-43dd-474f-852b-f400ff963b72	0.5	Javier thought that motorcycles seemed very cool. His parents warned him that motorcycles were very dangerous. Still, he bought a motorcycle and began taking lessons. Now he drives his motorcycle to work every day.	He loves his bike.	He sold his bike for a car.	1	0	1	0	1	0	1	1	1	0	0	1	18	27	0	4	7	0
604f231c-ed86-41a7-8d43-e5864ebd7132	0.5	Amy liked her neighbor Brian, and hoped he would ask her out. She waited patiently, but he never mentioned a date. Finally one day Brian called and asked Amy to go to dinner. Amy was so happy, and they had a great time.	It was the beginning of a great relationship.	She never spoke to Brian again.	1	1	0	1	1	1	0	0	0	1	0	1	45	31	1	8	6	1
24abbbc3-a9a9-4b1e-9c90-2ed2e34f0475	0.5	It was getting dark. Amy knew she had to get home, but she hated to leave Ben. He hugged her goodbye. They agreed they would meet at the same time next week.	Amy was looking forward to it greatly.	Amy hated Ben with a passion.	1	1	0	0	1	1	0	1	0	1	0	1	38	29	1	7	6	1
855fc812-bce6-4379-aad2-9221e7835a96	0.5	I had to go to the grocery store yesterday. There was almost no food left in the house. I bought several things. Now we have plenty of food.	I will cook a good dinner tonight.	There is no food in my house.	1	1	0	1	1	0	0	1	0	1	0	1	34	29	1	7	7	0
c7b3ff82-68a1-4378-8f5f-998159fdec4b	0.5	Jackson is a painter. He often paints portraits for family members. One day a friend approaches him and asks him to paint his mother. Jackson happily obliges.	Jackson's friend loves the painting.	Jackson stops being friends with him.	1	0	1	1	1	0	1	0	1	0	1	0	36	37	0	5	6	0
cbe93441-a429-4fe4-8c25-17683e791934	0.5	Ana's family was all visiting her house for Christmas. Suddenly a snow storm rose up and the weather grew bad. Two feet of snow fell! Ana's family was all snowed in at her house.	They had a happy, but cramped holiday.	Ana walked to work because the weather was so lovely.	1	1	0	0	1	1	0	1	0	1	0	1	38	53	0	7	10	0
a55bd7b6-d4be-4a08-a0bb-ea3596c363bf	0.5	Eva hid easter eggs in her house for her children to find. They found all but one egg. When they could not find the last, they assumed they had miscounted. A week later, Eva smelled something strange behind the bookcase.	Eva found the egg!	Eva found an orange!	1	1	0	0	1	0	0	1	0	1	1	1	18	20	0	4	4	0
a2a34230-3be3-4dd3-a76d-90f1300e15e7	0.5	Manny wanted to get better at making Italian food. He learned how to make noodles from scratch. He learned how to make different sauces. He put on a big Italian dinner for his family.	His family loved it.	He paid the chef $500 to prepare the meal.	1	0	0	1	1	1	1	1	0	0	0	1	20	42	0	4	9	0
144ecef8-76b4-4614-8a35-a43bc85bf871	0.5	Tammy went for lunch at a cafe. There, she bought french fries and a soda. She ate them both happily. She paid a reasonable price for her meal.	Tammy was pleased with lunch.	Tammy wrote a poor review of the cafe on yelp.	1	0	0	1	1	0	0	1	0	1	1	1	29	46	0	5	10	0
f3a2b24e-3f37-47b4-98ff-d128cca05564	0.5	Jarett loaned $200 dollars from me. He told me that he was going to pay me back before the end of the week. The next day, I saw him walking with Tony. He was giving her money.	I was very angry at Jarrett.	Jarrett did not give Tony money.	1	1	0	0	1	1	0	1	0	1	0	1	28	32	0	6	6	0
84f84da3-ddd1-42fb-aef8-3e3c2550d8c1	0.5	Christie had to complete an art project for school. She decided to complete a self portrait. She bought lots of watercolor paints. She worked for many days on her painting.	She was pleased with the finished product.	She threw it away, and never painted again.	1	1	0	0	1	1	0	1	0	1	0	1	42	43	0	7	8	0
f9710718-dcf6-4598-93c3-224d684b9802	0.5	Norm was having a very bad day yesterday. He was sitting at home when he heard a knock at the door. There was a package waiting on his doorstep. Norm opened the package to find a gift from his mother.	The gift made Norm's day a lot better.	Norm thought the gift was terrible.	1	1	0	0	1	1	0	1	0	1	0	1	38	35	1	8	6	1
541a184b-65b9-476a-825b-265850909595	0.5	Sandy was at home. Her home was dark. She needed light! Her friend bought her a lamp.	Sandy could now see in her home.	Sandy still could not see in her home!	1	1	0	1	1	0	0	0	0	1	1	1	32	38	0	7	8	0
cc7c4136-e381-41d2-b722-9e82da2d33cc	0.5	My Netflix keeps buffering last night. Even if I paused it nothing would happen. It would just play for a second and buffer. Eventually I reset the router.	Resetting the router didn't have any effect at all.	I went to a drive-in theatre to watch my movie.	1	0	0	1	1	1	0	1	0	1	1	0	51	47	1	9	10	0
b45cff24-3a8f-4c3e-97aa-d18a8273da98	0.5	Jay was starting his first shift as a dog walker. He was afraid. He feared the dogs would be mean to him! But then he found that they were all very friendly.	Jay was relieved.	Jay was now more terrified of dogs than ever before.	1	1	0	0	1	1	0	0	0	1	1	1	17	52	0	3	10	0
233f93bf-a588-4b7e-8ed3-cbc7686f6700	0.5	My left computer speaker went out. I jiggled the wires on the speaker and computer. I shook the speaker violently. I slammed the speaker onto the desk a few times.	But the speaker still did not work.	The speaker fell off the roof.	1	1	1	0	1	0	1	1	1	0	0	0	35	30	1	7	6	1
c5e184f9-6fd1-4ff9-88d8-3bf746b6fe22	0.5	Sam opened his email to a new insurance premium. He quite literally spat coffee when he saw the final tally. He steamed that the jokers had raised his rate by $50! Sam spent the whole day shopping around for a new insurance broker.	He found one that offered the same coverage for $80 less.	He decided to call and thank his broker for the email.	1	1	0	1	1	1	0	0	0	1	1	0	57	54	1	11	11	0
b3f8a440-58a2-4440-9b2d-759a78e64000	0.5	Clint grabbed his gun and dived behind the couch. He winced as the pounding knock came again. He just knew it they'd found him! Another loud knock and Clint cocked his gun.	Clint shot wildly as they burst through the door.	Clint opened the door and invited them in for drinks.	1	0	0	1	1	1	0	1	0	1	1	0	49	53	0	9	10	0
bd87091b-9e1d-4328-9dda-9bd698207938	0.5	Gina had tons of missed texts. She hadn't checked her phone for 2 days. She checked half of the messages, and decided to come back later. When she checked again there were texts from her friends.	Her friends had been trying to tell Gina they'd had a baby!	Gina turned off her phone because she didn't have any texts.	1	1	0	1	1	1	0	0	0	1	0	1	59	60	0	12	11	1
a621ab76-dea8-4b12-a937-7ca3aff60167	0.5	Joe was at home enjoying an adult beverage. Suddenly a loud crashing sound came from the back yard. Joe rushed out to discover a tree had fallen. He put away the drink.	Joe went to inspect the damage.	Joe took a nap on the tree.	1	1	0	1	1	1	0	1	0	1	0	0	31	27	1	6	7	0
66e1074d-ceaf-4dea-a5e9-563edf8e6e1f	0.5	Matt wanted to travel with his motorhome. He went out to start it one day to see how it ran. It started right up! He loaded it up with food and gas.	He planned out his perfect road trip.	He didn't have any money for gas.	1	1	0	1	1	0	0	1	0	1	0	1	37	33	1	7	7	0
d53805a6-a0b9-4bc6-ae71-ce29bc9edad3	0.6	The man was walking his puppy without a leash. The puppy usually followed him. One day the man was crossing an intersection with a lot of cars. The puppy ran ahead.	The poor puppy was hit by a car.	The man turned and went home alone.	1	0	1	1	1	0	1	1	1	1	0	0	32	35	0	8	7	1
516719a8-3671-4c0b-9b73-5275f6478f0a	0.6	Lou met a girl named Jill. He was falling in love after a couple dates. Jill always talked about her best friend Bex. She really wanted Lou to meet her.	Lou met Bex and wondered if he had made the right choice.	Lou was sad that Jill had no friends.	1	1	0	1	1	1	0	0	0	1	1	1	57	37	1	12	8	1
2c851f6b-cdf7-48c4-85d3-fb22c58c0d9f	0.6	Tina wanted to go for a hike so she put her baby in a baby carrier. They were walking up the trail in the park near their house. Suddenly, in front of them, she spotted a long black snake! After screaming, she ran home to tell her husband.	Tina was terrified of snakes.	Tina's husband suggested it would make a good pet.	1	0	1	1	1	0	1	0	1	0	1	1	29	50	0	5	9	0
8b3f5819-d339-4083-843a-31cec8416dd6	0.6	Kate was interested in taking karate. Kate searched the yellow pages for a qualified school. Kate found a school that peaked her interest. In visiting the school, Kate was excited to join.	Kate practiced often and became great.	Kate never went back to the school.	1	1	0	1	1	1	0	0	0	1	1	1	38	35	1	6	7	0
759f62eb-133d-4515-b9bf-360f488f749d	0.6	Amy's mom was beyond angry. She wanted to know why Amy and her friends were out at 12 AM. Amy decided to tell the truth. Her mother was furious.	Amy was grounded.	Amy's mom wanted to hang out with her next time.	1	1	1	1	1	0	1	0	1	0	0	1	17	48	0	3	10	0
b4f54dd3-b241-433a-ade1-f8d9ead6bf42	0.6	Ally collects things with peacocks on them. For her birthday, Fred bought her a peacock teapot. She loved it. She put it on her shelf to admire.	Ally is grateful to Fred.	Ally thinks Fred is selfish.	1	1	0	1	1	1	0	0	0	1	1	1	25	28	0	5	5	0
60302391-1114-4681-ba6d-c1c4d87171bf	0.6	Susan had very little money left in her food fund for the month. She went to the dollar store to see what she could find. She bought a few kinds of canned foods and a sparkling water. At home, she mixed the canned food into a pot and cooked it.	Susan poured the food into a bowl and ate it.	Susan went out and treated her friends to a steak dinner.	1	0	1	1	1	0	1	1	1	0	1	0	45	57	0	10	11	0
d432490a-c18c-4a09-a9ad-ece2e130716b	0.6	I've always loved penguins. I wanted to take a trip to the zoo to see the penguins. I saved money for a few weeks to get tickets and gas money together. I went to the zoo with my brother.	We had a lot of fun.	I was sad we went to the zoo.	1	1	0	1	1	1	0	1	0	1	0	1	20	29	0	6	8	0
b48b8722-975d-41eb-a5c0-e01cce5f5da2	0.6	I invited a girl I like to the movies last week. She said yes. We decided to watch a comedy. It was pretty funny.	I laughed a lot through the film.	I felt very sad while watching the film.	1	1	0	1	1	1	1	0	0	1	0	1	33	40	0	7	8	0
705f0cca-4757-40eb-afac-565c81f743e7	0.6	Sally needed to file some papers. Before that she needed to make copies, though. She knew this meant walking down to the basement. Once she was down there she made copies.	She went back up and filed all the papers.	She went back up and shredded all the papers.	1	1	1	0	1	0	1	0	1	1	0	1	42	45	0	9	9	0
ef912215-32ce-429c-a1db-e030227dce57	0.6	One afternoon Sallie took her dog, Gibby, to the dog park. Gibby was always afraid of the other dogs at the park. But this time, she met another dog who was also just as afraid. Both dogs greeted each other with wagging tails.	Sallie was glad that Gibbie made a friend.	Sallie punished Gibbie.	1	1	1	0	1	0	1	1	1	0	1	0	42	23	1	8	3	1
c04bfd90-6d9c-49be-a42e-e80b48294d29	0.6	Jess was the hall monitor at her school. And she took pictures of students who broke the rules. But students complained she was annoying and invasive. So her camera was taken away.	Jess was upset that it was taken away.	Jess didn't like taking photos.	1	1	0	1	1	1	0	0	0	1	1	1	38	31	1	8	5	1
a8c3c60b-15e4-4360-b09c-6f79b602198a	0.6	Kim was going to the mall with her aunt to see Santa. They arrived at the mall and could see the line from the parking lot. They waited in line for two hours. When it was Kim's turn she was afraid of Santa.	Kim insisted her mother come with her.	Kim gave Santa a big hug.	1	1	0	1	1	1	0	0	0	1	1	1	38	25	1	7	6	1
976fbfa3-33f4-4fdc-8f4d-ee2d277c79be	0.6	Michelle really wanted a new computer, but didn't have enough money. She worked really hard to try to make enough. She worked hours and hours, but bills kept showing up. She finally decided that maybe she didn't need a new one.	Michelle was overwhelmed with money concerns.	Michelle did not like computers.	1	1	0	1	1	1	0	1	0	1	0	1	45	32	1	6	5	1
926349b4-53f4-4615-9fd2-1e2f6f72a4ff	0.6	Jeff loved going snowboarding. For his birthday last weekend he went on a camping trip. They stayed at a lodge near the slopes. Everyone loved snowboarding with him.	He had a great time.	Jeff vowed to never go snowboarding again.	1	1	0	1	1	1	0	0	0	1	1	1	20	42	0	5	7	0
8c91a3fc-1db6-4c85-9379-a85c12754383	0.6	Dan realizes that he has gained weight over the last few Year's. He decides to begin exercising and eating better to become less fat. It is a grueling process, and at times Dan wants to give up. However, he remains dedicated until the extra weight is gone.	Dan steps onto a scale and realizes he lost a significant amount.	Despite his dedication, he gave eating well up and never lost it.	1	0	1	0	1	1	1	1	1	1	0	0	65	65	0	12	12	0
8f6015dc-268e-414e-8e42-9167cbadf27d	0.6	The dog sat in the cage at the shelter waiting for a family. One by one, families walked past, picking other dogs. He wagged his tail but still nobody wanted him. Finally he took a nap.	The dog longed for companionship.	The dog liked being alone.	1	1	0	1	1	1	1	0	0	1	0	1	33	26	1	5	5	0
dab3c1c1-2072-47c6-b4b2-86cd7ea99a68	0.6	Coach Reid implemented a rigorous boot camp for preseason. Every night the players would do a series of military exercises. The coaches hoped this would instill discipline within the players. Although at the time, the players resented it, they grew as a team.	Discipline in sports is an important thing to learn.	The coach ate his vegetables.	1	1	0	0	1	1	1	1	0	1	0	1	52	29	1	9	5	1
810f3c31-8c95-4659-b60c-5296166ed783	0.6	Rose wanted to go to the award ceremony. She didn't have anything appropriate to wear to such an occasion. She called a friend and asked if she could borrow her nicest dress. The friend invited her over and Rose looked through her wardrobe.	She picked a beautiful dress.	Rose was very upset with her friend.	1	1	0	1	1	1	0	1	0	0	1	1	29	36	0	5	7	0
65a1730c-b172-4c25-97f8-c289391d68eb	0.6	Olivia went out with Harry on a date. Harry thought the date was going well. Olivia thinks he is a complete jerk. Harry raves about their chemistry.	Olivia is about to leave.	Olivia feels she is falling in love.	1	0	1	1	1	1	0	1	1	0	1	0	25	36	0	5	7	0
3892a140-5180-47e1-8499-226406c05e2d	0.6	Dave decided one day he wanted to go see a hockey game. He ordered a few tickets. He then invited some of his friends. They all went to the game, and had a good time	Dave was happy that he went to the hockey game.	Dave decided to no go to another game.	1	1	0	1	1	1	0	0	0	1	1	1	47	38	1	10	8	1
d5569f5e-0c8a-47e9-9948-0fb157452e11	0.6	Sue got a white bunny for Easter. She named him Fred. About two weeks after she got him, Sue got a big surprise. There were five baby bunnies in the hutch with Fred.	Fred must be a female rabbit.	Fred was a male rabbit.	1	1	0	1	1	1	0	1	0	1	0	1	29	23	1	6	5	1
76c595d6-ef14-457e-82e1-34d068fb4f73	0.6	Ben was shopping at a walmart. He was looking for anything that seemed cool to him. Ben noticed a large adult kite was on sale. He bought the kite and went back home.	Ben flew his kite in the backyard all night!	Ben was upset he'd gone shopping.	1	1	1	1	1	0	1	0	1	0	1	0	44	33	1	9	6	1
42ec495b-77fc-430f-9f15-cdb406563528	0.6	Josh loved Rachel very much. Rachel reciprocated that love. But they were from two different social backgrounds. They tried and tried to make their love work.	But it just wasn't meant to be.	They both hated each other.	1	1	0	1	1	1	0	1	0	0	1	1	31	27	1	7	5	1
35156e56-acbb-4c9e-897d-5bf53e5ee677	0.6	Destini and Allison love music. Every week the two women have coffee and talk about the latest music. This week Allison got sick and could not make it. Destini was sad but understood, and instead came to Allison's house.	Allison told her to come back when she wasn't sick.	Allison hated music.	1	1	0	0	1	1	1	1	0	1	0	1	51	20	1	10	3	1
a213dbf2-196f-42d6-bff4-acf8823fac4c	0.6	Caleb loved to play baseball. Caleb was an outfielder on his team. One day someone hit a ball far out near Caleb! Caleb ran out to catch it but it hit him right in the nose!	All the kids laughed at him.	All the kids congratulated him on a job well done.	1	0	1	1	1	0	1	1	1	0	1	0	28	50	0	6	10	0
d2aa9504-428b-4842-968c-12f12efc14c2	0.6	Kelly was excited to get her first pair of wireless headphones. Finally she was able to purchase them. Kelly drove over to bestbuy to pick them up. As soon as she got them she put them on.	She was shocked by the clarity of the headphones.	Kelly then thought headphones are overrated.	1	1	0	1	1	1	0	0	0	1	1	1	49	44	1	9	6	1
7a413cdb-8a51-4f22-8626-4eb6d407ed77	0.6	Ted and Wanda were excited about taking a trip. They were only able to go for the day so they had to leave early. They packed up the car and headed out for the beach. They spent all day having a great time on the beach.	They decided next time they would try a two-day trip.	They decided never to visit the beach again.	1	1	0	1	1	1	0	0	0	1	1	1	53	44	1	10	8	1
2be6403f-0762-40c2-b33e-c62dfddb1977	0.6	Brian was cold. He decided to turn on the heat in his house. When the heat came on, it smelled like something was burning. Brian called the service man.	He was able to repair the heater at a fair price.	But Brian didn't want the heater repaired.	1	1	0	1	1	1	0	0	0	1	1	1	49	42	1	11	7	1
3edd4e2a-fbde-49fa-bec2-c935cd84946f	0.6	Linda went on vacation and visited a beach. She collected a bunch of sea shells. Linda brought the shells home and made them into necklaces. She posted pictures and her friends loved them.	They all began asking to her make necklaces for them.	She immediately removed the photos from her Facebook page.	1	1	1	0	1	0	1	0	1	1	0	1	53	58	0	10	9	1
d186a8fe-bf33-476e-bdc1-690d210cecb4	0.6	Susan loved the beach and went often. One day, while she swam in the ocean, a tide pulled Susan under. Susan was terrified and feared she would drown. Thankfully, a lifeguard was nearby and rescued Susan.	Susan was more careful when she swam.	Susan decided she would swim in deeper water.	1	1	1	0	1	1	0	0	1	1	0	1	37	45	0	7	8	0
a311dbc2-b791-4b70-a0ef-0cc96f1c464b	0.6	Jennifer was bored one Saturday. She decided to alleviate her boredom with a hike. She drove to a national park to go hiking. Jennifer hiked for hours.	Jennifer was tired when she finished.	Jennifer thought hiking was stupid.	1	1	0	0	1	1	0	1	0	1	1	1	37	35	1	6	5	1
e77aca43-0c27-4f92-aa9a-8f234b22080c	0.6	Jeanne enjoyed watching crime drama on television. Her favorite show was cancelled. She wrote a letter to the head of the network. She encouraged her friends to write letters as well.	The letters made no difference.	The network cast her in the show.	1	0	1	1	1	1	1	1	1	0	0	0	31	33	0	5	7	0
c5415cc7-eebc-48e6-b231-dd746791a887	0.6	Last christmas my family decided to decorate. It was the first time we ever did. We bought a lot of different items. Everyone helped put things up.	It was nice to all decorate together.	I had to do everything myself.	1	1	0	1	1	1	0	1	0	1	0	1	37	30	1	7	6	1
e67f4376-0ecd-44b4-82b0-6724cf3deef8	0.6	The other day I decided I needed to research javascript classes. Sitting down at the computer I began my search on google. It was not long at all before I had results in front of me to help. The chosen result led me to an info page for online classes.	I was glad I found exactly what I was looking for.	I had just graduated with a degree in computer science.	1	1	0	0	1	1	0	1	0	1	1	1	50	55	0	11	10	1
